"Relative Time (Process)","StudyAbroadGPT-7B-continued - system/gpu.0.powerPercent","StudyAbroadGPT-7B-continued - system/gpu.0.powerPercent__MIN","StudyAbroadGPT-7B-continued - system/gpu.0.powerPercent__MAX","StudyAbroadGPT-7B-continued - system/gpu.1.powerPercent","StudyAbroadGPT-7B-continued - system/gpu.1.powerPercent__MIN","StudyAbroadGPT-7B-continued - system/gpu.1.powerPercent__MAX"
"15.282726015","37.112857142857145","37.112857142857145","37.112857142857145","36.53","36.53","36.53"
"25.265648523","37.252857142857145","37.252857142857145","37.252857142857145","36.67","36.67","36.67"
"35.268134699","37.252857142857145","37.252857142857145","37.252857142857145","36.951428571428565","36.951428571428565","36.951428571428565"
"45.276054403","98.65285714285714","98.65285714285714","98.65285714285714","37.07142857142857","37.07142857142857","37.07142857142857"
"55.269090567","41.43142857142857","41.43142857142857","41.43142857142857","37.09285714285714","37.09285714285714","37.09285714285714"
"65.271829729","93.2757142857143","93.2757142857143","93.2757142857143","37.21285714285714","37.21285714285714","37.21285714285714"
"75.268575932","39.06285714285714","39.06285714285714","39.06285714285714","37.35285714285715","37.35285714285715","37.35285714285715"
"85.276529561","100.18428571428572","100.18428571428572","100.18428571428572","37.494285714285716","37.494285714285716","37.494285714285716"
"95.267709641","90.57000000000001","90.57000000000001","90.57000000000001","37.63428571428572","37.63428571428572","37.63428571428572"
"105.26622235","53.010000000000005","53.010000000000005","53.010000000000005","37.91571428571429","37.91571428571429","37.91571428571429"
"115.265448016","104.51428571428572","104.51428571428572","104.51428571428572","37.91571428571429","37.91571428571429","37.91571428571429"
"125.268289862","98.67","98.67","98.67","37.91571428571429","37.91571428571429","37.91571428571429"
"135.268787834","99.7057142857143","99.7057142857143","99.7057142857143","38.05571428571429","38.05571428571429","38.05571428571429"
"145.267607564","86.77571428571429","86.77571428571429","86.77571428571429","38.19714285714286","38.19714285714286","38.19714285714286"
"155.266615147","95.58714285714287","95.58714285714287","95.58714285714287","38.33714285714285","38.33714285714285","38.33714285714285"
"165.273888851","90.34714285714286","90.34714285714286","90.34714285714286","38.315714285714286","38.315714285714286","38.315714285714286"
"175.266194678","98.0342857142857","98.0342857142857","98.0342857142857","38.33714285714285","38.33714285714285","38.33714285714285"
"945.267685732","43.09428571428571","43.09428571428571","43.09428571428571","41.54857142857143","41.54857142857143","41.54857142857143"
"955.265614151","42.95428571428572","42.95428571428572","42.95428571428572","41.54857142857143","41.54857142857143","41.54857142857143"
"965.266567442","43.09428571428571","43.09428571428571","43.09428571428571","41.52571428571429","41.52571428571429","41.52571428571429"
"975.267032727","43.09428571428571","43.09428571428571","43.09428571428571","41.66571428571429","41.66571428571429","41.66571428571429"
"985.267835171","43.09428571428571","43.09428571428571","43.09428571428571","41.66571428571429","41.66571428571429","41.66571428571429"
"995.265477487","43.09428571428571","43.09428571428571","43.09428571428571","41.54857142857143","41.54857142857143","41.54857142857143"
"1005.267035756","43.09428571428571","43.09428571428571","43.09428571428571","41.54857142857143","41.54857142857143","41.54857142857143"
"1015.265546242","43.09428571428571","43.09428571428571","43.09428571428571","41.68857142857142","41.68857142857142","41.68857142857142"
"1035.2668394","43.23428571428571","43.23428571428571","43.23428571428571","41.66571428571429","41.66571428571429","41.66571428571429"
"1045.266411634","79.98714285714286","79.98714285714286","79.98714285714286","41.66571428571429","41.66571428571429","41.66571428571429"
"1055.265837761","97.13857142857142","97.13857142857142","97.13857142857142","41.66571428571429","41.66571428571429","41.66571428571429"
"1065.271039921","97.83428571428571","97.83428571428571","97.83428571428571","41.66571428571429","41.66571428571429","41.66571428571429"
"1075.268876502","98.94714285714286","98.94714285714286","98.94714285714286","41.104285714285716","41.104285714285716","41.104285714285716"
"1085.273139789","97.33857142857143","97.33857142857143","97.33857142857143","40.401428571428575","40.401428571428575","40.401428571428575"
"1095.267500395","98.17285714285715","98.17285714285715","98.17285714285715","39.86142857142857","39.86142857142857","39.86142857142857"
"1105.265939952","93.91428571428571","93.91428571428571","93.91428571428571","39.581428571428575","39.581428571428575","39.581428571428575"
"1115.26547951","96.92","96.92","96.92","39.32142857142857","39.32142857142857","39.32142857142857"
"1125.268191527","101.86999999999999","101.86999999999999","101.86999999999999","39.04","39.04","39.04"
"1135.267267404","97.75571428571429","97.75571428571429","97.75571428571429","39.01857142857143","39.01857142857143","39.01857142857143"
"1145.265542271","94.75142857142856","94.75142857142856","94.75142857142856","39.04","39.04","39.04"
"1155.270195255","97.25857142857143","97.25857142857143","97.25857142857143","38.9","38.9","38.9"
"1165.265521817","98.31285714285714","98.31285714285714","98.31285714285714","38.76","38.76","38.76"
"1175.26691707","102.42714285714285","102.42714285714285","102.42714285714285","38.47857142857143","38.47857142857143","38.47857142857143"
"1185.272515968","49.839999999999996","49.839999999999996","49.839999999999996","38.35857142857142","38.35857142857142","38.35857142857142"
"1195.266001313","97.53714285714285","97.53714285714285","97.53714285714285","38.33714285714285","38.33714285714285","38.33714285714285"
"1205.265507775","74.95714285714286","74.95714285714286","74.95714285714286","38.19714285714286","38.19714285714286","38.19714285714286"
"1215.273814613","98.73","98.73","98.73","38.05571428571429","38.05571428571429","38.05571428571429"
"1225.265528457","83.25","83.25","83.25","38.07714285714286","38.07714285714286","38.07714285714286"
"1235.265692333","96.14428571428572","96.14428571428572","96.14428571428572","37.93714285714286","37.93714285714286","37.93714285714286"
"1245.274446643","95.36714285714287","95.36714285714287","95.36714285714287","37.93714285714286","37.93714285714286","37.93714285714286"
